
ha	expressing surprise [interj]
helliers	"hellier, a slater, a tiler, a thatcher [n]"
helling	"hell, to hide, conceal [v]"
hellion	"a troublesome person, also heller [n -s]"
hellions	"hellion, a troublesome person, also heller [n]"
hellish	horrible [adj hellishly]
hellishly	"hellish, horrible [adv]"
hellishness	the state of being hellish [n -es]
hellishnesses	"hellishness, the state of being hellish [n]"
hellkite	an extremely cruel person [n -s]
hellkites	"hellkite, an extremely cruel person [n]"
hello	"to shout out a greeting, also hallo, halloa, halloo, hillo, hilloa, holla, hollo, holloa, holloo, hullo [v -ed, -ing, -s or -es]"
helloed	"hello, to shout out a greeting, also hallo, halloa, halloo, hillo, hilloa, holla, hollo, holloa, holloo, hullo [v]"
helloes	"hello, to shout out a greeting, also hallo, halloa, halloo, hillo, hilloa, holla, hollo, holloa, holloo, hullo [v]"
helloing	"hello, to shout out a greeting, also hallo, halloa, halloo, hillo, hilloa, holla, hollo, holloa, holloo, hullo [v]"
hellos	"hello, to shout out a greeting, also hallo, halloa, halloo, hillo, hilloa, holla, hollo, holloa, holloo, hullo [v]"
hellova	"hell of a, also helluva [adj]"
hells	"hell, to hide, conceal [v]"
helluva	"hell of a, also hellova [adj]"
hellward	towards hell [adv]
hellwards	"in the direction of hell, also hellward [adv]"
helm	"to steer a ship [v -ed, -ing, -s]"
helmed	"helm, to steer a ship [v]"
helmer	a film director [n -s]
helmers	"helmer, a film director [n]"
helmet	"to supply with a protective covering for the head [v -ed, -ing, -s]"
helmeted	"helmet, to supply with a protective covering for the head [v]"
helmeting	the act of fitting with a helmet [n -s]
helmetings	"helmeting, the act of fitting with a helmet [n]"
helmetlike	like a helmet [adj]
helmets	"helmet, to supply with a protective covering for the head [v]"
helming	"helm, to steer a ship [v]"
helminth	a parasitic intestinal nematode [n -s]
helminthiases	"helminthiasis, infestation with worms [n]"
helminthiasis	infestation with worms [n helminthiases]
helminthic	"of or relating to worms, or helminthes [adj] / a drug for expelling worms [n -s]"
helminthics	"helminthic, a drug for expelling worms [n]"
helminthoid	worm-shaped [adj]
helminthologic	relating to helminthology [adj]
helminthologies	"helminthology, the study of parasitic worms [n]"
helminthologist	a specialist in helminthology [n]
helminthology	the study of parasitic worms [n helminthologies]
helminthous	infested with intestinal worms [adj]
helminths	"helminth, a parasitic intestinal nematode [n]"
helmless	without a helm [adj]
helms	"helm, to steer a ship [v]"
helmsman	one who steer a ship [n helmsmen]
helmsmanship	the role or skill of helmsman [n -s]
helmsmanships	"helmsmanship, the role or skill of helmsman [n]"
helmsmen	"helmsman, one who steer a ship [n]"
helo	(short for) a helicopter [n -s]
helophyte	any perennial marsh plant that bears its overwintering buds in the mud below the surface [n -s]
helophytes	"helophyte, any perennial marsh plant that bears its overwintering buds in the mud below the surface [n]"
helos	"helo, (short for) a helicopter [n]"
helot	a slave or serf [n -s]
helotage	the state of helots or being enslaved [n -s]
helotages	"helotage, the state of helots or being enslaved [n]"
helotism	"slavery or serfdom, also helotage, helotry [n -s]"
helotisms	"helotism, slavery or serfdom, also helotage, helotry [n]"
helotries	"helotry, slavery or serfdom, also helotage, helotism [n]"
helotry	"slavery or serfdom, also helotage, helotism [n helotries]"
helots	"helot, a slave or serf [n]"
help	"to give aid [v holp or helped, holpen, helping, helps]"
helpable	able to be helped [adj]
helpdesk	a service which provides computer support [n -s]
helpdesks	"helpdesk, a service which provides computer support [n]"
helped	"help, to give aid [v]"
helper	one who helps [n -s]
helpers	"helper, one who helps [n]"
helpful	giving help [adj helpfully]
helpfully	"helpful, giving help [adv]"
helpfulness	the state of being helpful [n -es]
helpfulnesses	"helpfulness, the state of being helpful [n]"
helping	a portion of food [n -s]
helpings	"helping, a portion of food [n]"
helpless	defenceless [adj helplessly]
helplessly	"helpless, defenceless [adv]"
helplessness	the state of being helpless [n -es]
helplessnesses	"helplessness, the state of being helpless [n]"
helpline	an often free telephone line by means of which people with a particular problem may contact advisers who will help them deal with it [n -s]
helplines	"helpline, an often free telephone line by means of which people with a particular problem may contact advisers who will help them deal with it [n]"
helpmate	"a friend, companion, also helpmeet [n -s]"
helpmates	"helpmate, a friend, companion, also helpmeet [n]"
helpmeet	"a friend, companion, also helpmate [n -s]"
helpmeets	"helpmeet, a friend, companion, also helpmate [n]"
helps	"help, to give aid [v]"
helve	"to provide with a handle [v helved, helving, helves]"
helved	"helve, to provide with a handle [v]"
helves	"helve, to provide with a handle [v]"
helvetium	a superseded name for the element astatine [n -s]
helvetiums	"helvetium, a superseded name for the element astatine [n]"
helving	"helve, to provide with a handle [v]"
hem	"to provide with an edge [v hemmed, hemming, hems]"
hemachrome	"a blood pigment, such as haemoglobin, that carries oxygen, also haemachrome [n -s]"
hemachromes	"hemachrome, a blood pigment, such as haemoglobin, that carries oxygen, also haemachrome [n]"
hemacytometer	"an instrument for counting blood cells, also haemacytometer, haemocytometer, hemocytometer [n -s]"
hemacytometers	"hemacytometer, an instrument for counting blood cells, also haemacytometer, haemocytometer, hemocytometer [n]"
hemagglutinate	"to cause the clumping of red blood cells in (a blood sample), also haemagglutinate [v hemagglutinated, hemagglutinates]"
hemagglutinated	"hemagglutinate, to cause the clumping of red blood cells in (a blood sample), also haemagglutinate [v]"
hemagglutinates	"hemagglutinate, to cause the clumping of red blood cells in (a blood sample), also haemagglutinate [v]"
hemagglutinin	"a virus, antibody or other agent causing haemagglutination, also haemagglutinin [n -s]"
hemagglutinins	"hemagglutinin, a virus, antibody or other agent causing haemagglutination, also haemagglutinin [n]"
hemagog	an agent that promotes blood flow [n -s]
hemagogs	"hemagog, an agent that promotes blood flow [n]"
hemagogue	"a drug that promotes the flow of blood, also haemagogue, hemagog [n -s]"
hemagogues	"hemagogue, a drug that promotes the flow of blood, also haemagogue, hemagog [n]"
hemal	"pertaining to the blood, also haemal, haematal, haemic, haemoid, hematal, hemic, hemoid [adj]"
hemangioma	"a usually benign tumour made up of blood vessels, also haemangioma [n hemangiomas or hemangiomata]"
hemangiomas	"hemangioma, a usually benign tumour made up of blood vessels, also haemangioma [n]"
hemangiomata	"hemangioma, a usually benign tumour made up of blood vessels, also haemangioma [n]"
hematal	"pertaining to the blood, also haemal, haematal, haemic, haemoid, hemal, hemic, hemoid [adj]"
hematein	"a reddish brown or violet crystalline substance got from hematoxylin by partial oxidation, also haematein [n -s]"
hemateins	"hematein, a reddish brown or violet crystalline substance got from hematoxylin by partial oxidation, also haematein [n]"
hematemeses	"hematemesis, vomiting of blood, esp. as the result of a bleeding ulcer, also haematemesis [n]"
hematemesis	"vomiting of blood, esp. as the result of a bleeding ulcer, also haematemesis [n hematemeses]"
hematic	"a medicine for a blood disease, also haematic [n -s]"
hematics	"hematic, a medicine for a blood disease, also haematic [n]"
hematin	"a compound of hemoglobin, also hematine [n -s]"
hematine	"a compound of hemoglobin, also hematin [n -s]"
hematines	"hematine, a compound of hemoglobin, also hematin [n]"
hematinic	"a substance having the effect of increasing the haemoglobin or of stimulating the production of red blood cells, also haematinic [n -s]"
hematinics	"hematinic, a substance having the effect of increasing the haemoglobin or of stimulating the production of red blood cells, also haematinic [n]"
hematins	"hematin, a compound of hemoglobin, also hematine [n]"
hematite	"an ore of iron, also haematite [n -s]"
hematites	"hematite, an ore of iron, also haematite [n]"
hematitic	"of or pertaining to hematite, or resembling it, also haematitic [adj]"
hematoblast	"a blood platelet, also haematoblast [n -s]"
hematoblastic	"of or like hematoblast, a blood platelet, also haematoblastic [adj]"
hematoblasts	"hematoblast, a blood platelet, also haematoblast [n]"
hematocele	"a cavity containing blood, also haematocele [n -s]"
hematoceles	"hematocele, a cavity containing blood, also haematocele [n]"
hematocrit	"a graduated capillary tube in which the blood is centrifuged, to determine the ratio, by volume, of blood cells to plasma, also haematocrit [n -s]"
hematocrits	"hematocrit, a graduated capillary tube in which the blood is centrifuged, to determine the ratio, by volume, of blood cells to plasma, also haematocrit [n]"
hematocryal	"of all animals except birds and mammals, having a body temperature that varies with the temperature of the surroundings, also haematocryal [adj]"
hematogeneses	"hematogenesis, the production of blood, also haematogenesis [n]"
hematogenesis	"the production of blood, also haematogenesis [n hematogeneses]"
hematogenetic	"relating to hematogenesis, the production of blood, also haematogenetic [adj]"
hematogenic	"(us) forming blood, also haematogenic [adj]"
hematogenous	"producing blood, also haematogenous [adj]"
hematoid	"resembling blood, also haematoid [adj]"
hematologic	"of or relating to blood or to hematology, also haematologic, haematological, hematological [adj]"
hematological	"of or relating to blood or to hematology, also haematologic, haematological, hematologic [adj]"
hematologies	"hematology, the study of blood, also haematology [n]"
hematologist	"a specialist in hematology, also haematologist [n -s]"
hematologists	"hematologist, a specialist in hematology, also haematologist [n]"
hematology	"the study of blood, also haematology [n hematologies]"
hematolyses	"hematolysis, the disintegration of red blood cells, with the release of haemoglobin, occurring in the living organism or in a blood sample, also haematolysis [n]"
hematolysis	"the disintegration of red blood cells, with the release of haemoglobin, occurring in the living organism or in a blood sample, also haematolysis [n hematolyses]"
hematoma	swelling filled with blood [n hematomas or hematomata]
hematomas	"hematoma, swelling filled with blood [n]"
hematomata	"hematoma, swelling filled with blood [n]"
hematophagous	"of certain animals, feeding on blood, also haematophagous [adj]"
hematopoieses	"hematopoiesis, the formation of blood, also haematopoiesis, haemopoiesis, hemopoiesis [n]"
hematopoiesis	"the formation of blood, also haematopoiesis, haemopoiesis, hemopoiesis [n hematopoieses]"
hematopoietic	"relating to hematopoiesis, the formation of blood, also haematopoietic [adj]"
hematoporphyrin	any of several porphyrins that are hydrated derivatives of protoporphyrins [n]
hematoses	"hematosis, the formation of blood; conversion of venous into arterial blood, also haematosis [n]"
hematosis	"the formation of blood; conversion of venous into arterial blood, also haematosis [n hematoses]"
hematothermal	"of birds and mammals, having a constant body temperature, usually higher than the temperature of the surroundings, also haematothermal [adj]"
hematoxylin	"a dye obtained from logwood, also haematoxylin [n -s]"
hematoxylins	"hematoxylin, a dye obtained from logwood, also haematoxylin [n]"
hematozoa	"hematozoon, a protozoan that is parasitic in the blood, also haematozoon [n]"
hematozoon	"a protozoan that is parasitic in the blood, also haematozoon [n hematozoa]"
hematuria	"the presence of blood in urine, also haematuria [n -s]"
hematurias	"hematuria, the presence of blood in urine, also haematuria [n]"
hematuric	"relating to hematuria, the presence of blood in urine, also haematuric [adj]"
heme	"a component of hemoglobin, also haem [n -s]"
hemelytra	"hemelytron, an insect forewing thickened at the base, membranous at the apex, also hemelytrum, hemielytron [n]"
hemelytral	"relating to the hemelytron, the insect forewing, also hemielytral [adj]"
hemelytron	"an insect forewing thickened at the base, membranous at the apex, also hemelytrum, hemielytron [n hemelytra]"
hemelytrum	"an insect forewing thickened at the base, membranous at the apex, also hemelytron, hemielytron [n hemelytra]"
hemeralopia	"the condition of seeing well at night or in partial darkness, while the day sight is poor [n -s]"
hemeralopias	"hemeralopia, the condition of seeing well at night or in partial darkness, while the day sight is poor [n]"
hemeralopic	relating to hemeralopia [adj]
hemerocallis	the daylily [n -es]
hemerocallises	"hemerocallis, the daylily [n]"
hemerythrin	an iron-containing respiratory pigment in the blood of various chiefly marine invertebrates [n -s]
hemerythrins	"hemerythrin, an iron-containing respiratory pigment in the blood of various chiefly marine invertebrates [n]"
