
ma	(colloquial) mother [n -s]
melodramatised	"melodramatise, to make melodramatic, also melodramatize [v]"
melodramatises	"melodramatise, to make melodramatic, also melodramatize [v]"
melodramatising	"melodramatise, to make melodramatic, also melodramatize [v]"
melodramatist	one who writes melodramas [n -s]
melodramatists	"melodramatist, one who writes melodramas [n]"
melodramatize	"to make melodramatic, also melodramatise [v melodramatized, melodramatizing, melodramatizes]"
melodramatized	"melodramatize, to make melodramatic, also melodramatise [v]"
melodramatizes	"melodramatize, to make melodramatic, also melodramatise [v]"
melodramatizing	"melodramatize, to make melodramatic, also melodramatise [v]"
melodrame	"a kind of romantic and sensational drama, also melodrama [n -s]"
melodrames	"melodrame, a kind of romantic and sensational drama, also melodrama [n]"
melody	an agreeable succession of single musical sounds [n melodies]
meloid	a blister beetle [n -s]
meloids	"meloid, a blister beetle [n]"
melomania	a mania for music [n -s]
melomaniac	an abnormally dedicated musical fan [n -s]
melomaniacs	"melomaniac, an abnormally dedicated musical fan [n]"
melomanias	"melomania, a mania for music [n]"
melomanic	"suffering from melomania, a craze for music [adj]"
melon	"any of several juicy, edible gourds [n -s]"
melongene	an aubergine [n -s]
melongenes	"melongene, an aubergine [n]"
melons	"melon, any of several juicy, edible gourds [n]"
melony	like a melon [adj]
meloxicam	a drug used to treat osteoarthritis and rheumatoid arthritis [n -s]
meloxicams	"meloxicam, a drug used to treat osteoarthritis and rheumatoid arthritis [n]"
melphalan	an antineoplastic drug [n -s]
melphalans	"melphalan, an antineoplastic drug [n]"
mels	"mel, honey [n]"
melt	"to change from a solid to a liquid state by heat [v melted, ymolt or ymolten or melted, melting, melts]"
meltabilities	"meltability, the quality of being meltable [n]"
meltability	the quality of being meltable [n meltabilities]
meltable	able to be melted [adj]
meltage	the process of melting [n -s]
meltages	"meltage, the process of melting [n]"
meltdown	the melting of the core of a nuclear reactor [n -s]
meltdowns	"meltdown, the melting of the core of a nuclear reactor [n]"
melted	"melt, to change from a solid to a liquid state by heat [v]"
meltemi	a northerly wind in the ne mediterranean [n -s]
meltemis	"meltemi, a northerly wind in the ne mediterranean [n]"
melter	"one who, or that which, melts [n -s]"
melters	"melter, one who, or that which, melts [n]"
meltier	"melty, liable to melt [adj]"
meltiest	"melty, liable to melt [adj]"
melting	in a melting state [adj meltingly] / the act of melting [n -s]
meltingly	"melting, in a melting state [adv]"
meltingness	the state of being melting [n -es]
meltingnesses	"meltingness, the state of being melting [n]"
meltings	"melting, the act of melting [n]"
meltith	(scots) a meal; a cow's yield at one milking [n -s]
meltiths	"meltith, (scots) a meal; a cow's yield at one milking [n]"
melton	a strong and smooth heavy woollen cloth [n -s]
meltons	"melton, a strong and smooth heavy woollen cloth [n]"
melts	"melt, to change from a solid to a liquid state by heat [v]"
meltwater	the water that runs off from snowfields or glaciers [n -s]
meltwaters	"meltwater, the water that runs off from snowfields or glaciers [n]"
melty	"liable to melt [adj meltier, meltiest]"
melungeon	"any of a dark-skinned group of people living in the appalachians, of mixed white, indian and black origin [n -s]"
melungeons	"melungeon, any of a dark-skinned group of people living in the appalachians, of mixed white, indian and black origin [n]"
mem	the thirteenth letter of the hebrew alphabet [n -s]
member	a distinct part of a whole [n -s]
membered	having limbs [adj]
memberless	without members [adj]
members	"member, a distinct part of a whole [n]"
membership	the state or status of being a member [n -s]
memberships	"membership, the state or status of being a member [n]"
membral	relating to the limbs [adj]
membranaceous	"like a membrane, also membraneous, membranous [adj]"
membranal	of or like a membrane [adj]
membrane	"a thin, pliable layer of tissue [n -s]"
membraned	having a membrane [adj]
membraneous	"like a membrane, also membranaceous, membranous [adj]"
membranes	"membrane, a thin, pliable layer of tissue [n]"
membranous	"like a membrane, also membranaceous, membraneous [adj membranously]"
membranously	"membranous, like a membrane, also membranaceous, membraneous [adv]"
meme	a practice or belief passed on other than by genes [n -s]
memento	"something kept or given as a reminder, also momento [n -es or -s]"
mementoes	"memento, something kept or given as a reminder, also momento [n]"
mementos	"memento, something kept or given as a reminder, also momento [n]"
memes	"meme, a practice or belief passed on other than by genes [n]"
memetic	of or like a meme [adj]
memetics	the study of genetic transmission of culture [n]
memo	a brief note used as a reminder [n -s]
memoir	a biography [n -s]
memoirism	the act or art of writing memoirs [n -s]
memoirisms	"memoirism, the act or art of writing memoirs [n]"
memoirist	one who writes memoirs [n -s]
memoirists	"memoirist, one who writes memoirs [n]"
memoirs	"memoir, a biography [n]"
memorabile	something memorable [n memorabilia]
memorabilia	"memorabile, something memorable [n]"
memorabilities	"memorability, the state of being memorable [n]"
memorability	the state of being memorable [n memorabilities]
memorable	worth remembering [adj memorably]
memorableness	"memorable, worth remembering [n]"
memorablenesses	"memorableness, memorable, worth remembering [n]"
memorably	"memorable, worth remembering [adv]"
memoranda	"memorandum, (latin) a note to help the memory [n]"
memorandum	(latin) a note to help the memory [n memorandums or memoranda]
memorandums	"memorandum, (latin) a note to help the memory [n]"
memorative	(obsolete) commemorative [adj]
memorial	serving to remember [adj memorially] / something that serves as a remembrance of a person or event [n -s]
memorialisation	"the process of memorialising, also memorialization [n]"
memorialise	"to celebrate with a memorial, also memorialize [v memorialised, memorialising, memorialises]"
memorialised	"memorialise, to celebrate with a memorial, also memorialize [v]"
memorialiser	"one who memorialises, also memorializer [n -s]"
memorialisers	"memorialiser, one who memorialises, also memorializer [n]"
memorialises	"memorialise, to celebrate with a memorial, also memorialize [v]"
memorialising	"memorialise, to celebrate with a memorial, also memorialize [v]"
memorialist	a person who writes or signs a memorial [n -s]
memorialists	"memorialist, a person who writes or signs a memorial [n]"
memorialization	"the process of memorializing, also memorialisation [n]"
memorialize	"to address or petition by a memorial, also memorialise [v memorialized, memorializing, memorializes]"
memorialized	"memorialize, to address or petition by a memorial, also memorialise [v]"
memorializer	"one who memorializses, also memorialiser [n -s]"
memorializers	"memorializer, one who memorializses, also memorialiser [n]"
memorializes	"memorialize, to address or petition by a memorial, also memorialise [v]"
memorializing	"memorialize, to address or petition by a memorial, also memorialise [v]"
memorially	"memorial, serving to remember [adv]"
memorials	"memorial, something that serves as a remembrance of a person or event [n]"
memories	"memory, the gift of being able to retain and recall events [n]"
memorisable	"able to be memorised, also memorizable [adj]"
memorisation	"the act of memorising, also memorization [n -s]"
memorisations	"memorisation, the act of memorising, also memorization [n]"
memorise	"to commit to memory, also memorize [v memorised, memorising, memorises]"
memorised	"memorise, to commit to memory, also memorize [v]"
memoriser	"one who memorises, also memorizer [n -s]"
memorisers	"memoriser, one who memorises, also memorizer [n]"
memorises	"memorise, to commit to memory, also memorize [v]"
memorising	"memorise, to commit to memory, also memorize [v]"
memoriter	(latin) from memory; by heart [adv]
memorizable	"able to be memorised, also memorisable [adj]"
memorization	"the act of memorizing, also memorisation [n -s]"
memorizations	"memorization, the act of memorizing, also memorisation [n]"
memorize	"to commit to memory, also memorise [v memorized, memorizing, memorizes]"
memorized	"memorize, to commit to memory, also memorise [v]"
memorizer	"one who memorizes, also memoriser [n -s]"
memorizers	"memorizer, one who memorizes, also memoriser [n]"
memorizes	"memorize, to commit to memory, also memorise [v]"
memorizing	"memorize, to commit to memory, also memorise [v]"
memory	the gift of being able to retain and recall events [n memories]
memos	"memo, a brief note used as a reminder [n]"
mems	"mem, the thirteenth letter of the hebrew alphabet [n]"
memsahib	a european woman living in colonial india [n -s]
memsahibs	"memsahib, a european woman living in colonial india [n]"
men	"man, an adult human male [n]"
menace	"to threaten [v menaced, menacing, menaces]"
menaced	"menace, to threaten [v]"
menacer	one who menaces [n -s]
menacers	"menacer, one who menaces [n]"
menaces	"menace, to threaten [v]"
menacing	"menace, to threaten [v]"
menacingly	menacing [adv]
menad	"a female follower of bacchus, also maenad [n -s]"
menadione	vitamin k3 [n -s]
menadiones	"menadione, vitamin k3 [n]"
menads	"menad, a female follower of bacchus, also maenad [n]"
menage	"to manage [v menaged, menaging, menages]"
menaged	"menage, to manage [v]"
menagerie	(french) a collection of wild animals [n -s]
menageries	"menagerie, (french) a collection of wild animals [n]"
menages	"menage, to manage [v]"
menaging	"menage, to manage [v]"
menaquinone	a form of vitamin k synthesized by bacteria in the intestine or in putrefying organic matter [n -s]
menaquinones	"menaquinone, a form of vitamin k synthesized by bacteria in the intestine or in putrefying organic matter [n]"
menarche	the first occurrence of menstruation [n -s]
menarcheal	"relating to the menarche, also menarchial [adj]"
menarches	"menarche, the first occurrence of menstruation [n]"
menarchial	"relating to the menarche, also menarcheal [adj]"
menazon	an insecticide [n -s]
menazons	"menazon, an insecticide [n]"
mend	"to repair [v -ed, -ing, -s]"
mendable	able to be mended [adj]
mendacious	"telling lies, esp. habitually [adj mendaciously]"
mendaciously	"mendacious, telling lies, esp. habitually [adv]"
mendaciousness	"mendacious, telling lies, esp. habitually [n]"
mendacities	"mendacity, given to lying, esp. habitually [n]"
mendacity	"given to lying, esp. habitually [n mendacities]"
mended	"mend, to repair [v]"
mendelevium	an unstable radioactive element discovered in 1955 [n -s]
mendeleviums	"mendelevium, an unstable radioactive element discovered in 1955 [n]"
mender	one that mends [n -s]
menders	"mender, one that mends [n]"
mendicancies	"mendicancy, the practice of begging, also mendicity [n]"
mendicancy	"the practice of begging, also mendicity [n mendicancies]"
mendicant	a beggar; a friar who depends on alms [n -s]
mendicants	"mendicant, a beggar; a friar who depends on alms [n]"
mendicities	"mendicity, the practice of begging, also mendicancy [n]"
mendicity	"the practice of begging, also mendicancy [n mendicities]"
mendigo	a freshwater fish [n -s]
mendigos	"mendigo, a freshwater fish [n]"
mending	an accumulation of articles to be mended [n -s]
mendings	"mending, an accumulation of articles to be mended [n]"
mends	"mend, to repair [v]"
mene	"(scots) to lament, moan, also meane, mein [v mened, mening, menes]"
mened	"mene, (scots) to lament, moan, also meane, mein [v]"
